Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite
065.03834,LORY FONDERIES,2011,Air,Vanadium et ses composés,0.199,kg/an
065.03834,LORY FONDERIES,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.0296,kg/an
065.05421,DASSAULT AVIATION,2011,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.001,kg/an
065.05935,CEFIVAL,2011,Eau (direct),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.0001,kg/an
065.05946,MAJ ELIS Persan,2011,Eau (indirect),Diphényléthers bromés (PBDE),0.023,kg/an
065.05946,MAJ ELIS Persan,2011,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.9,kg/an
065.06135,SOFINADE / LE DANTEC,2011,Eau (indirect),Benzo (b) fluoranthène,0.09,kg/an
065.06288,TOTAL Marketing France,2011,Eau (direct),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.389,kg/an
065.06436,BIOCITECH IMMOBILIER SAS / Parc BIOCITECH,2011,Eau (indirect),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",0.03,kg/an
065.06436,BIOCITECH IMMOBILIER SAS / Parc BIOCITECH,2011,Eau (indirect),Chloroforme (trichlorométhane),0.03,kg/an
065.06436,BIOCITECH IMMOBILIER SAS / Parc BIOCITECH,2011,Eau (indirect),"Tétrachlorométhane (TCM, tétrachlorure de carbone)",0.015,kg/an
065.06436,BIOCITECH IMMOBILIER SAS / Parc BIOCITECH,2011,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.06,kg/an
065.08051,TSEP,2011,Eau (indirect),Chloroforme (trichlorométhane),0.239,kg/an
065.08051,TSEP,2011,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.001,kg/an
065.13254,SYTRADEM,2011,Air,Vanadium et ses composés,0.0145,kg/an
065.13254,SYTRADEM,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.0145,kg/an
066.00973,CLAUDE (Ets),2011,Eau (direct),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",1.58,kg/an
066.00973,CLAUDE (Ets),2011,Eau (direct),Chloroforme (trichlorométhane),0.26,kg/an
066.00973,CLAUDE (Ets),2011,Eau (direct),"Tétrachlorométhane (TCM, tétrachlorure de carbone)",0.57,kg/an
066.03845,CEMOI CHOCOLATIER ETABLISSEMENT TORREMILA,2011,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.002,kg/an
067.00392,EMFI Site de Haguenau,2011,Eau (indirect),Chloroforme (trichlorométhane),0.018,kg/an
067.00422,Dow AgroSciences,2011,Air,Vanadium et ses composés,0.0564,kg/an
067.00422,Dow AgroSciences,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.0394,kg/an
067.00493,Messier-Bugatti-Dowty,2011,Eau (indirect),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",0.08,kg/an
067.00493,Messier-Bugatti-Dowty,2011,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.16,kg/an
067.00499,CLEMESSY MOTORS,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.0151,kg/an
067.00614,LEUCO PRODUCTION,2011,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.5,kg/an
067.00804,EMFI S.A.S,2011,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.001,kg/an
067.00804,EMFI S.A.S,2011,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.013,kg/an
067.02210,M.P.S,2011,Air,Vanadium et ses composés,0.0033,kg/an
067.02210,M.P.S,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.000348,kg/an
068.02177,NESTOR,2011,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.04,kg/an
068.02477,S.N.A.M.,2011,Air,Vanadium et ses composés,0.18,kg/an
068.02477,S.N.A.M.,2011,Air,Thallium et ses composés (exprimés en tant que Tl),2.13,kg/an
068.02637,Biscuiterie POULT,2011,Eau (direct),Chloroforme (trichlorométhane),1.9,kg/an
068.02805,LTS,2011,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.137,kg/an
068.03270,LAVATRANS,2011,Eau (direct),Benzo (a) pyrène,0.0000596,kg/an
068.03270,LAVATRANS,2011,Eau (direct),Benzo (k) fluoranthène,0.0000596,kg/an
068.03270,LAVATRANS,2011,Eau (direct),"Indeno(1,2,3-cd)pyrène",0.000119,kg/an
068.03270,LAVATRANS,2011,Eau (direct),Benzo (b) fluoranthène,0.0000596,kg/an
068.03270,LAVATRANS,2011,Eau (direct),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.0149,kg/an
068.03660,SUEZ RV PLASTIQUES AVEYRON,2011,Eau (direct),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.03,kg/an
068.03707,NOUVELLE FONDERIE GILLET INDUSTRIES,2011,Air,Vanadium et ses composés,0.000846,kg/an
068.03707,NOUVELLE FONDERIE GILLET INDUSTRIES,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.00052,kg/an
068.03974,SMTD 65,2011,Eau (direct),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.02,kg/an
068.04277,TERREAL REVEL,2011,Air,Thallium et ses composés (exprimés en tant que Tl),0.13,kg/an
070.00789,POLYNT COMPOSITES FRANCE,2011,Eau (indirect),Benzo (a) pyrène,0.001,kg/an
070.00789,POLYNT COMPOSITES FRANCE,2011,Eau (indirect),Benzo (k) fluoranthène,0.001,kg/an
070.00789,POLYNT COMPOSITES FRANCE,2011,Eau (indirect),"Indeno(1,2,3-cd)pyrène",0.001,kg/an
