Identifiant,Nom_Etablissement,Dechet,Annee,Code_Operation_Eliminatio_Valorisation,Libelle_Operation_Eliminatio_Valorisation,Code_Departement,Pays,Code_Dechet,Libelle_Dechet,Quantite,Unite
87187001,ABATTOIR MUNICIPAL DE SAINT-YRIEIX,Production de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,79,,5,"Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux)",1126.0,t/an
87187001,ABATTOIR MUNICIPAL DE SAINT-YRIEIX,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),24,,5,"Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux)",1655.2,t/an
87187001,ABATTOIR MUNICIPAL DE SAINT-YRIEIX,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),79,,5,"Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux)",2976.8,t/an
76278001,ALLIANCE ELABORES,Production de dÃ©chets non dangereux,2011,R10,R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie,76,,02 02 04,Boues provenant du traitement in situ des effluents,6384,t/an
49003604,CHARAL,Production de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,79,,02 02 03,Matières impropres à la consommation ou à la transformation,30200,t/an
49003604,CHARAL,Production de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,44,,18 01 02,"Déchets anatomiques et organes, y compris sacs de sang et réserves de sang (sauf rubrique 18 01 03)",1.2,t/an
49003604,CHARAL,Production de dÃ©chets non dangereux,2011,"R1 ",R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie,49,,15 01 02,Emballages en matières plastiques,1130,t/an
49003604,CHARAL,Production de dÃ©chets non dangereux,2011,R10,R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie,49,,02 02 04,Boues provenant du traitement in situ des effluents,22400,t/an
75624001,CONSERVERIE DE BERGERAC,Production de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",24,,9,Déchets banals des entreprises,1128,t/an
75624001,CONSERVERIE DE BERGERAC,Production de dÃ©chets non dangereux,2011,"D8 ","D8 Traitement biologique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12",24,,5,"Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux)",12924,t/an
75624001,CONSERVERIE DE BERGERAC,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,24,,4,Déchets de bois,84,t/an
25041001,Coopérative des MONTS DE JOUX,Production de dÃ©chets non dangereux,2011,R10,R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie,25,,2,Boues d'effluents industriels,16600,t/an
59178001,DOUAISIENNE D'ABATTAGE,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",62,,20 01 99,Autres fractions non spécifiées ailleurs.,61.2,t/an
59178001,DOUAISIENNE D'ABATTAGE,Production de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,02,,02 02 99,Déchets non spécifiés ailleurs.,4400,t/an
59178001,DOUAISIENNE D'ABATTAGE,Production de dÃ©chets non dangereux,2011,"D8 ","D8 Traitement biologique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12",59,,02 02 04,Boues provenant du traitement in situ des effluents,412,t/an
59178001,DOUAISIENNE D'ABATTAGE,Production de dÃ©chets non dangereux,2011,R10,R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie,59,,02 01 06,"Fèces, urine et fumier (y compris paille souillée), effluents, collectés séparément et traités hors site",496,t/an
59178001,DOUAISIENNE D'ABATTAGE,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),22,,02 02 99,Déchets non spécifiés ailleurs.,59.6,t/an
59178001,DOUAISIENNE D'ABATTAGE,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),55,,02 02 99,Déchets non spécifiés ailleurs.,3480,t/an
59178001,DOUAISIENNE D'ABATTAGE,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),59,,20 01 01,Papier et carton,0.6,t/an
59178001,DOUAISIENNE D'ABATTAGE,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),62,,20 02 01,Déchets biodégradables,11.56,t/an
59178001,DOUAISIENNE D'ABATTAGE,Production de dÃ©chets non dangereux,2011,"R4 ",R4 Recyclage ou récupération des métaux et des composés métalliques,62,,17 04 07,Métaux en mélange,228,t/an
59178001,DOUAISIENNE D'ABATTAGE,Production de dÃ©chets non dangereux,2011,"R4 ",R4 Recyclage ou récupération des métaux et des composés métalliques,59,,17 04 11,Câbles autres que ceux visés à la rubrique 17 04 10.,0.84,t/an
59178001,DOUAISIENNE D'ABATTAGE,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,62,,15 01 03,Emballages en bois,4,t/an
59178001,DOUAISIENNE D'ABATTAGE,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,62,,17 01 07,"Mélanges de béton, briques, tuiles et céramiques autres que ceux visés à la rubrique 17 01 06.",124.2,t/an
64208005,EARL CASSOU-LAHORE,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",,,02 01 06,"Fèces, urine et fumier (y compris paille souillée), effluents, collectés séparément et traités hors site",7360,t/an
