Identifiant,Nom_Etablissement,Dechet,Annee,Code_Operation_Eliminatio_Valorisation,Libelle_Operation_Eliminatio_Valorisation,Code_Departement,Pays,Code_Dechet,Libelle_Dechet,Quantite,Unite
40282001,FERMIERS LANDAIS SAS,Production de dÃ©chets non dangereux,2011,"D2 ","D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.)",40,,2,Boues d'effluents industriels,147.6,t/an
40282001,FERMIERS LANDAIS SAS,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),40,,5,"Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux)",39600,t/an
40282001,FERMIERS LANDAIS SAS,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,64,,4,Déchets de bois,51.6,t/an
40282001,FERMIERS LANDAIS SAS,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,64,,9,Déchets banals des entreprises,580,t/an
75664052,FIPSO Aquitaine,Production de dÃ©chets non dangereux,2011,R10,R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie,,,02 02 04,Boues provenant du traitement in situ des effluents,6000,t/an
75664050,LABEYRIE,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),47,,02 02 02,Déchets de tissus animaux,15990,t/an
75664050,LABEYRIE,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),,,02 02 04,Boues provenant du traitement in situ des effluents,458,t/an
75664050,LABEYRIE,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),,,02 02 99,Déchets non spécifiés ailleurs.,3228,t/an
71056001,LDC BOURGOGNE,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",71,,03 03 08,Déchets provenant du tri de papier et de carton destinés au recyclage,238,t/an
71056001,LDC BOURGOGNE,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",71,,15 01 03,Emballages en bois,14.44,t/an
71056001,LDC BOURGOGNE,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",71,,16 01 19,Matières plastiques,84,t/an
71056001,LDC BOURGOGNE,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",71,,17 04 07,Métaux en mélange,42,t/an
71056001,LDC BOURGOGNE,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",71,,2,Boues d'effluents industriels,2252,t/an
71056001,LDC BOURGOGNE,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",71,,5,"Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux)",44152,t/an
71056001,LDC BOURGOGNE,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",71,,8,Ordures ménagères,656,t/an
25578200,Les éleveurs de la Chevillotte,Production de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,03,,02 02 02,Déchets de tissus animaux,11.08,t/an
25578200,Les éleveurs de la Chevillotte,Production de dÃ©chets non dangereux,2011,D13,D13 Regroupement préalablement à l'une des opérations numérotées D 1 à D 12,25,,20 01 01,Papier et carton,320,t/an
25578200,Les éleveurs de la Chevillotte,Production de dÃ©chets non dangereux,2011,R12,R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11,39,,02 02 02,Déchets de tissus animaux,6700,t/an
25578200,Les éleveurs de la Chevillotte,Production de dÃ©chets non dangereux,2011,R12,R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11,39,,02 02 04,Boues provenant du traitement in situ des effluents,792,t/an
75664053,LINDT ET SPRUNGLI,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",64,,02 03 05,Boues provenant du traitement in situ des effluents,678,t/an
75664053,LINDT ET SPRUNGLI,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",64,,02 06 01,Matières impropres à la consommation ou à la transformation,3054,t/an
75664053,LINDT ET SPRUNGLI,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",64,,02 06 99,Déchets non spécifiés ailleurs.,740,t/an
75664053,LINDT ET SPRUNGLI,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",,ESPAGNE,02 06 99,Déchets non spécifiés ailleurs.,1768,t/an
75664053,LINDT ET SPRUNGLI,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",65,,07 02 13,Déchets plastiques,226,t/an
75664053,LINDT ET SPRUNGLI,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",65,,15 01 01,Emballages en papier/carton,1220,t/an
75664053,LINDT ET SPRUNGLI,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",64,,17 02 01,Bois,478,t/an
75664053,LINDT ET SPRUNGLI,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",64,,17 04 02,Aluminium,8.4,t/an
75664053,LINDT ET SPRUNGLI,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",64,,19 10 01,Déchets de fer ou d'acier,140,t/an
75664053,LINDT ET SPRUNGLI,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",65,,19 12 01,Papier et carton,13.2,t/an
24129001,Mademoiselle Desserts Valade,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",24,,02 06 01,Matières impropres à la consommation ou à la transformation,798,t/an
24129001,Mademoiselle Desserts Valade,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",24,,02 06 03,Boues provenant du traitement in situ des effluents,796,t/an
24129001,Mademoiselle Desserts Valade,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",24,,15 01 02,Emballages en matières plastiques,171.2,t/an
24129001,Mademoiselle Desserts Valade,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",24,,20 01 38,Bois autres que ceux visés à la rubrique 20 01 37,526.6,t/an
24129001,Mademoiselle Desserts Valade,Production de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",24,,20 02 03,Autres déchets non biodégradables.,1750,t/an
24129001,Mademoiselle Desserts Valade,Production de dÃ©chets non dangereux,2011,"R4 ",R4 Recyclage ou récupération des métaux et des composés métalliques,33,,17 04 02,Aluminium,30,t/an
24129001,Mademoiselle Desserts Valade,Production de dÃ©chets non dangereux,2011,"R4 ",R4 Recyclage ou récupération des métaux et des composés métalliques,33,,20 01 40,Métaux,210,t/an
24129001,Mademoiselle Desserts Valade,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,24,,15 01 01,Emballages en papier/carton,635.0,t/an
40282011,PYRENEX,Production de dÃ©chets non dangereux,2011,D14,D14 Reconditionnement préalablement à l'une des opérations numérotées D 1 à D 13,40,,20 03 01,Déchets municipaux en mélange,90,t/an
40282011,PYRENEX,Production de dÃ©chets non dangereux,2011,"R1 ",R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie,47,,02 02 99,Déchets non spécifiés ailleurs.,70,t/an
40282011,PYRENEX,Production de dÃ©chets non dangereux,2011,R10,R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie,40,,19 08 14,Boues provenant d'autres traitements des eaux usées industrielles autres que celles visées à la rubrique 19 08 13,1800,t/an
40282011,PYRENEX,Production de dÃ©chets non dangereux,2011,R13,"R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production)",40,,15 01 01,Emballages en papier/carton,48,t/an
40282011,PYRENEX,Production de dÃ©chets non dangereux,2011,R13,"R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production)",40,,15 01 02,Emballages en matières plastiques,20,t/an
40282011,PYRENEX,Production de dÃ©chets non dangereux,2011,R13,"R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production)",40,,20 01 01,Papier et carton,5.0,t/an
40282011,PYRENEX,Production de dÃ©chets non dangereux,2011,R13,"R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production)",40,,20 01 38,Bois autres que ceux visés à la rubrique 20 01 37,30,t/an
40282011,PYRENEX,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),56,,02 02 99,Déchets non spécifiés ailleurs.,2200,t/an
87085001,REGIE MUNICIPALE DE L'ABATTOIR DE LIMOGES,Production de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,79,,5,"Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux)",16200,t/an
87085001,REGIE MUNICIPALE DE L'ABATTOIR DE LIMOGES,Production de dÃ©chets non dangereux,2011,R10,R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie,87,,7,"Fèces, urines et fumier animaux",6000,t/an
02307501,SARVAL SUD EST,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",03,,02 02 02,Déchets de tissus animaux,57600,t/an
87014001,SAS ABATTOIRS DE BESSINES,Production de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,23,,5,"Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux)",7800,t/an
87014001,SAS ABATTOIRS DE BESSINES,Production de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,23,,6,Déchets animaux de la préparation des aliments et produits alimentaires,1772,t/an
87014001,SAS ABATTOIRS DE BESSINES,Production de dÃ©chets non dangereux,2011,"R1 ",R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie,87,,4,Déchets de bois,57.2,t/an
87014001,SAS ABATTOIRS DE BESSINES,Production de dÃ©chets non dangereux,2011,R10,R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie,87,,7,"Fèces, urines et fumier animaux",4640,t/an
87014001,SAS ABATTOIRS DE BESSINES,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),87,,2,Boues d'effluents industriels,294.8,t/an
25056200,SBA Société Bisontine d'Abattage,Production de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,39,,02 02 02,Déchets de tissus animaux,2640,t/an
25056200,SBA Société Bisontine d'Abattage,Production de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,39,,02 02 04,Boues provenant du traitement in situ des effluents,312,t/an
25056200,SBA Société Bisontine d'Abattage,Production de dÃ©chets non dangereux,2011,D13,D13 Regroupement préalablement à l'une des opérations numérotées D 1 à D 12,39,,02 02 02,Déchets de tissus animaux,504,t/an
25056200,SBA Société Bisontine d'Abattage,Production de dÃ©chets non dangereux,2011,D15,"D15 Stockage préalablement à l'une des opérations numérotées D 1 à D 14 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production)",39,,02 02 02,Déchets de tissus animaux,2320,t/an
25056200,SBA Société Bisontine d'Abattage,Production de dÃ©chets non dangereux,2011,"D2 ","D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.)",70,,02 01 06,"Fèces, urine et fumier (y compris paille souillée), effluents, collectés séparément et traités hors site",1320,t/an
25056200,SBA Société Bisontine d'Abattage,Production de dÃ©chets non dangereux,2011,"D7 ","D7 Immersion, y compris enfouissement dans le sous-sol marin",25,,02 02 04,Boues provenant du traitement in situ des effluents,118,t/an
61001001,SELVI,Production de dÃ©chets non dangereux,2011,"R1 ",R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie,61,,02 02 03,Matières impropres à la consommation ou à la transformation,4920,t/an
61001001,SELVI,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),35,,02 02 02,Déchets de tissus animaux,816,t/an
61001001,SELVI,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),61,,02 02 02,Déchets de tissus animaux,668,t/an
61001001,SELVI,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),61,,12 01 01,Limaille et chutes de métaux ferreux,9.88,t/an
61001001,SELVI,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),61,,20 01 01,Papier et carton,9.54,t/an
29293010,S.F.V.,Production de dÃ©chets non dangereux,2011,"D9 ","D9 Traitement physico-chimique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12 (par exemple, évaporation, séchage, calcination, etc.)",29,,6,Déchets animaux de la préparation des aliments et produits alimentaires,24640,t/an
29293010,S.F.V.,Production de dÃ©chets non dangereux,2011,"R1 ",R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie,29,,3,Déchets soins médicaux ou vétérinaires et déchets biologiques,0.32,t/an
29293010,S.F.V.,Production de dÃ©chets non dangereux,2011,"R1 ",R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie,29,,9,Déchets banals des entreprises,199.2,t/an
29293010,S.F.V.,Production de dÃ©chets non dangereux,2011,R10,R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie,29,,2,Boues d'effluents industriels,720,t/an
61096018,SNV,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",61,,9,Déchets banals des entreprises,324,t/an
61096018,SNV,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),35,,02 02 02,Déchets de tissus animaux,12736,t/an
61096018,SNV,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,61,,15 01 01,Emballages en papier/carton,130,t/an
61096018,SNV,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,61,,15 01 02,Emballages en matières plastiques,6,t/an
61096018,SNV,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,61,,15 01 03,Emballages en bois,22,t/an
61096018,SNV,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,61,,17 04 02,Aluminium,10,t/an
61096020,SNV,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",61,,9,Déchets banals des entreprises,932,t/an
61096020,SNV,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),35,,02 02 02,Déchets de tissus animaux,63200,t/an
61096020,SNV,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,61,,15 01 01,Emballages en papier/carton,220,t/an
61096020,SNV,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,61,,15 01 02,Emballages en matières plastiques,52,t/an
61096020,SNV,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,61,,17 04 02,Aluminium,60,t/an
40230001,SOVOL LANDES VOLAILLES,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",40,,02 02 02,Déchets de tissus animaux,4090,t/an
40230001,SOVOL LANDES VOLAILLES,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",40,,02 02 03,Matières impropres à la consommation ou à la transformation,310,t/an
40230001,SOVOL LANDES VOLAILLES,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",40,,02 02 04,Boues provenant du traitement in situ des effluents,395.0,t/an
051.00096,Materne,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",02,,19 08 01,Déchets de dégrillage,412,t/an
051.00096,Materne,Production de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",02,,20 03 01,Déchets municipaux en mélange,2340,t/an
051.00096,Materne,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),80,,02 03 04,Matières impropres à la consommation ou à la transformation,9340,t/an
051.00096,Materne,Production de dÃ©chets non dangereux,2011,"R3 ",R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques),02,,19 08 12,Boues provenant du traitement biologique des eaux usées industrielles autres que celles visées à la rubrique 19 08 11,2460,t/an
051.00096,Materne,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,02,,15 01 01,Emballages en papier/carton,890,t/an
051.00096,Materne,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,02,,15 01 02,Emballages en matières plastiques,134,t/an
051.00096,Materne,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,59,,15 01 03,Emballages en bois,528,t/an
051.00096,Materne,Production de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,02,,15 01 04,Emballages métalliques,358,t/an
051.00143,Greenfield SAS,Production de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",95,,03 03 07,Refus séparés mécaniquement provenant du recyclage de déchets de papier et de carton,20000,t/an
051.00143,Greenfield SAS,Production de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",02,,20 01 99,Autres fractions non spécifiées ailleurs.,79.8,t/an
051.00143,Greenfield SAS,Production de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",02,,20 03 01,Déchets municipaux en mélange,9.64,t/an
051.00143,Greenfield SAS,Production de dÃ©chets non dangereux,2011,R10,R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie,02,,03 03 05,Boues de désencrage provenant du recyclage du papier,100200,t/an
051.00143,Greenfield SAS,Production de dÃ©chets non dangereux,2011,R13,"R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production)",49,,03 03 05,Boues de désencrage provenant du recyclage du papier,55600,t/an
