Identifiant,Nom_Etablissement,Dechet,Annee,Code_Operation_Eliminatio_Valorisation,Libelle_Operation_Eliminatio_Valorisation,Code_Departement,Pays,Code_Dechet,Libelle_Dechet,Quantite_admise,Quantite_traitee,Unite
064.00578,Suez R et V Méditerranée - ISDND du JAS DE RHODES,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,14,"Déchets de solvants organiques, d'agents réfrigérants et propulseurs (sauf chapitres 07 et 08) :",9200.000,9200.000,t/an
100.09038,SUEZ Recyclage et Valorisation Centre Ouest - Installation de stockage de Déchets non dangereux de CHEVILLY 2,Traitement de dÃ©chets non dangereux,2011,"D5 ","D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.)",,,11,"Déchets provenant du traitement chimique de surface et du revêtement des métaux et autres matériaux, et de l'hydrométallurgie des métaux non ferreux :",9000.000,9000.000,t/an
058.00311,EQIOM,Traitement de dÃ©chets non dangereux,2011,R12,R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11,,,20 01 39,Matières plastiques,2800.000,2800.000,t/an
101.00127,CSD de Saint Triviers de Courtes,Traitement de dÃ©chets non dangereux,2011,"D8 ","D8 Traitement biologique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12",,,4,Déchets de bois,4560.000,4560.000,t/an
058.00433,Lafargeholcim Ciments Usine du Havre Saint Vigor,Traitement de dÃ©chets non dangereux,2011,"R5 ",R5 Recyclage ou récupération d'autres matières inorganiques,,,06 05 03,Boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 06 05 02.,294.000,294.000,t/an
059.00978,EQIOM,Traitement de dÃ©chets non dangereux,2011,"R1 ",R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie,,,19 08 01,Déchets de dégrillage,3520.000,3520.000,t/an
061.03190,Trédi,Traitement de dÃ©chets non dangereux,2011,D10,D10 Incinération à terre,,,19 12 01,Papier et carton,3.560,3.560,t/an
055.01935,FDB,Traitement de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",,,19 08 12,Boues provenant du traitement biologique des eaux usées industrielles autres que celles visées à la rubrique 19 08 11,5940.000,5940.000,t/an
061.02002,Usine d'incinération d'ordures ménagères,Traitement de dÃ©chets non dangereux,2011,"R1 ",R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie,,,8,Ordures ménagères,432000.000,432000.000,t/an
061.07131,NICOLLIN SAS,Traitement de dÃ©chets non dangereux,2011,"D1 ","D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.)",,,19 08 05,Boues provenant du traitement des eaux usées urbaines,608.000,608.000,t/an
