Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite
065.01602,BASF Health and Care Products France,2010,Air,Naphthalène,69,kg/an
065.01602,BASF Health and Care Products France,2010,Eau (direct),Naphthalène,11,kg/an
051.01087,DUO METAL,2010,Air,Vanadium et ses composés,0.0678,kg/an
051.01087,DUO METAL,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.0565,kg/an
051.01148,DESRUES S.A.S,2010,Eau (indirect),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",0.000010,kg/an
051.01148,DESRUES S.A.S,2010,Eau (indirect),Chloroforme (trichlorométhane),0.000020,kg/an
051.01148,DESRUES S.A.S,2010,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.000020,kg/an
051.01647,INERIS,2010,Air,Vanadium et ses composés,0.00023,kg/an
051.01647,INERIS,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.000090,kg/an
051.02590,TRD,2010,Air,Vanadium et ses composés,0.0609,kg/an
051.02590,TRD,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.0314,kg/an
052.00074,BERKEM,2010,Eau (direct),Chloroforme (trichlorométhane),0.038,kg/an
052.00136,SNCF - Technicentre de Charentes-Périgord,2010,Air,Vanadium et ses composés,0.00493,kg/an
052.00352,SIAP PROCINER,2010,Air,Vanadium et ses composés,0.68,kg/an
052.00352,SIAP PROCINER,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.696,kg/an
052.01675,SITCOM - Messanges,2010,Air,Vanadium et ses composés,0.2,kg/an
052.01675,SITCOM - Messanges,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.401,kg/an
052.02729,PCC France,2010,Air,Vanadium et ses composés,1.37,kg/an
053.01484,AURYS,2010,Eau (direct),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.42,kg/an
054.01097,PPG AC,2010,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.0166,kg/an
054.01191,TPC,2010,Air,Vanadium et ses composés,0.8,kg/an
054.01201,COMMUNAUTE D'AGGLOMERATION DU GRAND SENONAIS,2010,Air,Vanadium et ses composés,0.162,kg/an
054.01201,COMMUNAUTE D'AGGLOMERATION DU GRAND SENONAIS,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.057,kg/an
054.01765,SONIRVAL,2010,Air,Vanadium et ses composés,1.55,kg/an
054.01765,SONIRVAL,2010,Air,Thallium et ses composés (exprimés en tant que Tl),1.34,kg/an
055.00616,UIOM - ZI de Lumunoc'h,2010,Air,Thallium et ses composés (exprimés en tant que Tl),1.63,kg/an
055.14248,Naval Group Site de Lorient,2010,Air,Vanadium et ses composés,0.15,kg/an
055.14248,Naval Group Site de Lorient,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.5,kg/an
056.00075,SADILLEK SA,2010,Air,Vanadium et ses composés,0.285,kg/an
056.00075,SADILLEK SA,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.216,kg/an
057.01056,METALBLANC,2010,Air,Vanadium et ses composés,1.31,kg/an
057.01056,METALBLANC,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.6,kg/an
057.01289,GHM,2010,Air,Vanadium et ses composés,0.48,kg/an
057.01293,FONDERIE GHM,2010,Air,Vanadium et ses composés,0.361,kg/an
057.01293,FONDERIE GHM,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.027,kg/an
057.01935,Etablissement DAUM,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.17,kg/an
057.02694,CSDU BAR SUR SEINE,2010,Eau (indirect),Benzo (a) pyrène,0.000000010,kg/an
057.02694,CSDU BAR SUR SEINE,2010,Eau (indirect),Benzo (b) fluoranthène,0.0602,kg/an
058.00503,CARLO ERBA REAGENTS,2010,Eau (indirect),Chloroforme (trichlorométhane),0.001,kg/an
058.00503,CARLO ERBA REAGENTS,2010,Eau (direct),Chloroforme (trichlorométhane),0.002,kg/an
058.00503,CARLO ERBA REAGENTS,2010,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.002,kg/an
058.00503,CARLO ERBA REAGENTS,2010,Eau (direct),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.001,kg/an
058.00999,IKOS SOL MEIX,2010,Eau (direct),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.00013,kg/an
058.01260,centre de traitement des déchets,2010,Air,Vanadium et ses composés,0.4,kg/an
058.01491,Metropole Rouen Normandie,2010,Air,Vanadium et ses composés,0.048,kg/an
058.01491,Metropole Rouen Normandie,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.385,kg/an
058.02920,SOLVALOR SEINE,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.015,kg/an
059.00199,CASTMETAL COLOMBIER,2010,Air,Vanadium et ses composés,1.14,kg/an
059.00199,CASTMETAL COLOMBIER,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.252,kg/an
059.00275,SOTREFI,2010,Eau (indirect),Chloroforme (trichlorométhane),0.00613,kg/an
059.00275,SOTREFI,2010,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.007,kg/an
059.00275,SOTREFI,2010,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.005,kg/an
059.00578,CASTMETAL FWF,2010,Air,Vanadium et ses composés,1.4,kg/an
059.00578,CASTMETAL FWF,2010,Air,Thallium et ses composés (exprimés en tant que Tl),1.66,kg/an
061.02037,ROSET,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.009,kg/an
061.02436,KERNEOS Usine de LE TEIL,2010,Air,Vanadium et ses composés,0.3,kg/an
061.02436,KERNEOS Usine de LE TEIL,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.2,kg/an
061.02464,Eurecat France,2010,Air,Vanadium et ses composés,0.37,kg/an
061.03134,VICAT Usine de La Pérelle,2010,Air,Vanadium et ses composés,0.03,kg/an
061.03134,VICAT Usine de La Pérelle,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.031,kg/an
061.03183,THOR Sarl,2010,Eau (indirect),Benzo (b) fluoranthène,0.0000245,kg/an
061.03514,GFD,2010,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.00285,kg/an
061.03546,RECYLEX,2010,Eau (direct),Benzo (a) pyrène,0.00021,kg/an
061.03546,RECYLEX,2010,Eau (direct),Benzo (k) fluoranthène,0.00021,kg/an
061.03546,RECYLEX,2010,Eau (direct),"Indeno(1,2,3-cd)pyrène",0.00021,kg/an
061.03546,RECYLEX,2010,Eau (direct),Benzo (b) fluoranthène,0.00021,kg/an
061.03549,QUARON,2010,Eau (indirect),Chloroforme (trichlorométhane),1.13,kg/an
061.03617,SUEZ RR IWS Chemicals France,2010,Eau (indirect),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",0.00129,kg/an
061.03617,SUEZ RR IWS Chemicals France,2010,Eau (indirect),Benzo (a) pyrène,0.000136,kg/an
061.03617,SUEZ RR IWS Chemicals France,2010,Eau (indirect),Chloroforme (trichlorométhane),0.0553,kg/an
061.03617,SUEZ RR IWS Chemicals France,2010,Eau (indirect),"Tétrachlorométhane (TCM, tétrachlorure de carbone)",0.00129,kg/an
061.03617,SUEZ RR IWS Chemicals France,2010,Eau (indirect),Benzo (k) fluoranthène,0.000154,kg/an
061.03617,SUEZ RR IWS Chemicals France,2010,Eau (indirect),"Indeno(1,2,3-cd)pyrène",0.000293,kg/an
061.03617,SUEZ RR IWS Chemicals France,2010,Eau (indirect),Benzo (b) fluoranthène,0.000468,kg/an
061.03759,SAINT JEAN INDUSTRIES,2010,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.0227,kg/an
061.03759,SAINT JEAN INDUSTRIES,2010,Eau (indirect),Octylphénols et éthoxylates d'octylphénol,0.00119,kg/an
059.00385,CHRISTIAN BERNARD DIFFUSION,2010,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.0005,kg/an
059.02151,MBF Aluminium,2010,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.001,kg/an
060.03095,MANUFACTURE MODERNE D'ENVELOPPES,2010,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.07,kg/an
061.04351,CROMOLOGY RESEARCH & INDUSTRY SAVOIE,2010,Eau (direct),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.0038,kg/an
061.04495,UIOM des Brévières,2010,Air,Vanadium et ses composés,0.17,kg/an
061.04495,UIOM des Brévières,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.11,kg/an
061.04504,AREVA NP,2010,Air,Vanadium et ses composés,0.36,kg/an
061.04915,FIP industries,2010,Air,Vanadium et ses composés,0.00184,kg/an
061.04952,VALDI,2010,Air,Vanadium et ses composés,0.0675,kg/an
061.04952,VALDI,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.169,kg/an
061.05034,FMI Process (four de station d'épuration),2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.0961,kg/an
061.08002,Aquapole STEP (GRENOBLE ALPES METROPOLE),2010,Air,Vanadium et ses composés,0.0197,kg/an
061.08002,Aquapole STEP (GRENOBLE ALPES METROPOLE),2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.0147,kg/an
061.08560,SERTE,2010,Air,Vanadium et ses composés,0.15,kg/an
061.08560,SERTE,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.128,kg/an
062.01560,UEM (centrale de Borny),2010,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.0015,kg/an
062.06156,Ancien Centre d'Enfouissement de Bitche,2010,Eau (indirect),Benzène,0.001,kg/an
063.01946,S2C,2010,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.000060,kg/an
063.01973,Société SABLE,2010,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.0001,kg/an
063.04790,ONYX SOCCOIM,2010,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.046,kg/an
062.01149,CIMULEC S.A.,2010,Eau (direct),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.05,kg/an
062.01149,CIMULEC S.A.,2010,Eau (direct),Octylphénols et éthoxylates d'octylphénol,0.9,kg/an
062.01191,VIESSMANN FAULQUEMONT S.A.S.,2010,Eau (direct),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.00059,kg/an
062.01191,VIESSMANN FAULQUEMONT S.A.S.,2010,Eau (direct),Octylphénols et éthoxylates d'octylphénol,0.00571,kg/an
062.01702,FERCO SAS,2010,Eau (direct),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.055,kg/an
062.01702,FERCO SAS,2010,Eau (direct),Octylphénols et éthoxylates d'octylphénol,0.002,kg/an
065.04451,TROLYT,2010,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.028,kg/an
065.05358,Protection des Alliages Légers (P.A.L),2010,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.145,kg/an
062.06497,Technicentre Lorraine UO Metz - site de Sablon,2010,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.38,kg/an
067.01480,OREST GROUP,2010,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.0022,kg/an
068.04811,trigone SMDTOMA du GERS site de GONDRIN,2010,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.003,kg/an
070.00676,TITAGARH WAGONS AFR,2010,Eau (indirect),Anthracène,0.00025,kg/an
070.00676,TITAGARH WAGONS AFR,2010,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.05,kg/an
063.01138,ORTEC SERVICE ENVIRONNEMENT,2010,Air,Vanadium et ses composés,0.613,kg/an
063.01138,ORTEC SERVICE ENVIRONNEMENT,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.827,kg/an
070.00888,TRAITEMENTS LAMBIN,2010,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.15,kg/an
063.01446,FRAMATOME Etablissement de Paimboeuf,2010,Air,Vanadium et ses composés,0.008,kg/an
072.01983,SNRI,2010,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.007,kg/an
063.04890,TRIADE ELECTRONIQUE,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.221,kg/an
064.00113,SE.RA.HU,2010,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.004,kg/an
064.00113,SE.RA.HU,2010,Eau (indirect),Octylphénols et éthoxylates d'octylphénol,0.0017,kg/an
064.00113,SE.RA.HU,2010,Eau (indirect),Gamma isomère Lindane,0.0000092,kg/an
064.00113,SE.RA.HU,2010,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.146,kg/an
064.00210,COCA COLA MIDI SAS,2010,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.094,kg/an
064.00322,OREDUI,2010,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.04,kg/an
064.00322,OREDUI,2010,Eau (indirect),Octylphénols et éthoxylates d'octylphénol,0.01,kg/an
064.00322,OREDUI,2010,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",2.07,kg/an
064.00341,LABORATOIRES ARKOPHARMA,2010,Eau (indirect),Chloroforme (trichlorométhane),0.0978,kg/an
064.00428,MÄDER COMPOSITES FRANCE,2010,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",16.5,kg/an
064.00641,NCDSM,2010,Eau (indirect),Chloroforme (trichlorométhane),0.0000696,kg/an
064.00675,PERNOD,2010,Eau (indirect),Chloroforme (trichlorométhane),0.00208,kg/an
064.00675,PERNOD,2010,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.0017,kg/an
064.00719,BTMF,2010,Eau (indirect),Chloroforme (trichlorométhane),3.5,kg/an
064.00719,BTMF,2010,Eau (indirect),Diphényléthers bromés (PBDE),0.053,kg/an
064.00719,BTMF,2010,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.119,kg/an
064.00998,SOLAMAT MEREX FOS-SUR-MER,2010,Air,Vanadium et ses composés,0.31,kg/an
064.00998,SOLAMAT MEREX FOS-SUR-MER,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.256,kg/an
064.01013,SOLAMAT-MEREX ROGNAC,2010,Air,Vanadium et ses composés,0.29,kg/an
064.01013,SOLAMAT-MEREX ROGNAC,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.221,kg/an
064.01015,Dépôt Pétrolier de la Grande Bastide,2010,Eau (direct),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.11,kg/an
064.01015,Dépôt Pétrolier de la Grande Bastide,2010,Eau (direct),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",69,kg/an
064.01536,TIRO CLAS SYSTEM,2010,Eau (direct),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.0003,kg/an
064.01536,TIRO CLAS SYSTEM,2010,Eau (direct),Octylphénols et éthoxylates d'octylphénol,0.0004,kg/an
064.01813,ELECTROLYSE PHOCEENNE SAS,2010,Eau (direct),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.01,kg/an
064.01813,ELECTROLYSE PHOCEENNE SAS,2010,Eau (direct),Octylphénols et éthoxylates d'octylphénol,0.001,kg/an
064.04437,AP-HM,2010,Eau (indirect),Chloroforme (trichlorométhane),0.0621,kg/an
064.04437,AP-HM,2010,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.0716,kg/an
064.04437,AP-HM,2010,Eau (indirect),Octylphénols et éthoxylates d'octylphénol,0.00717,kg/an
064.04437,AP-HM,2010,Eau (indirect),"Tétrachlorométhane (TCM, tétrachlorure de carbone)",0.0119,kg/an
065.00641,GEREP,2010,Air,Vanadium et ses composés,1.48,kg/an
065.01978,INITIAL BTB,2010,Eau (indirect),Chloroforme (trichlorométhane),0.021,kg/an
065.01978,INITIAL BTB,2010,Eau (indirect),Diphényléthers bromés (PBDE),0.009,kg/an
065.01978,INITIAL BTB,2010,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.013,kg/an
065.03333,SAFRAN AIRCRAFT ENGINES,2010,Air,Vanadium et ses composés,0.039,kg/an
066.00973,CLAUDE (Ets),2010,Eau (direct),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",5.05,kg/an
066.00973,CLAUDE (Ets),2010,Eau (direct),Chloroforme (trichlorométhane),0.15,kg/an
066.00973,CLAUDE (Ets),2010,Eau (direct),"Tétrachlorométhane (TCM, tétrachlorure de carbone)",0.04,kg/an
067.00493,Messier-Bugatti-Dowty,2010,Eau (direct),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",4.2,kg/an
067.00499,CLEMESSY MOTORS,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.009,kg/an
067.00614,LEUCO PRODUCTION,2010,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.212,kg/an
067.00639,Federal Mogul Valvetrain Schirmeck SAS,2010,Eau (direct),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.0038,kg/an
067.00639,Federal Mogul Valvetrain Schirmeck SAS,2010,Eau (direct),Octylphénols et éthoxylates d'octylphénol,0.0026,kg/an
067.00804,EMFI S.A.S,2010,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.041,kg/an
067.02210,M.P.S,2010,Air,Vanadium et ses composés,0.00821,kg/an
067.02210,M.P.S,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.00247,kg/an
067.04359,Jet Aviation AG - hangar grande capacité- WWB,2010,Eau (indirect),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",0.00000142,kg/an
067.04359,Jet Aviation AG - hangar grande capacité- WWB,2010,Eau (indirect),Benzo (a) pyrène,0.000000285,kg/an
067.04359,Jet Aviation AG - hangar grande capacité- WWB,2010,Eau (indirect),"Tétrachlorométhane (TCM, tétrachlorure de carbone)",0.0000285,kg/an
067.04359,Jet Aviation AG - hangar grande capacité- WWB,2010,Eau (indirect),Gamma isomère Lindane,0.00000057,kg/an
067.04359,Jet Aviation AG - hangar grande capacité- WWB,2010,Eau (indirect),Benzo (k) fluoranthène,0.000000285,kg/an
067.04359,Jet Aviation AG - hangar grande capacité- WWB,2010,Eau (indirect),"Indeno(1,2,3-cd)pyrène",0.000000285,kg/an
067.04359,Jet Aviation AG - hangar grande capacité- WWB,2010,Eau (indirect),Benzo (b) fluoranthène,0.000000285,kg/an
068.02477,S.N.A.M.,2010,Air,Vanadium et ses composés,0.04,kg/an
068.02477,S.N.A.M.,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.08,kg/an
