Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite
068.02522,SMTD 65,2010,Eau (direct),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.161,kg/an
068.02945,FONDERIES DECHAUMONT,2010,Air,Vanadium et ses composés,0.859,kg/an
068.02945,FONDERIES DECHAUMONT,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.829,kg/an
068.03270,LAVATRANS,2010,Eau (direct),Benzo (a) pyrène,0.000043,kg/an
068.03270,LAVATRANS,2010,Eau (direct),Benzo (k) fluoranthène,0.000043,kg/an
068.03270,LAVATRANS,2010,Eau (direct),"Indeno(1,2,3-cd)pyrène",0.000086,kg/an
068.03270,LAVATRANS,2010,Eau (direct),Benzo (b) fluoranthène,0.000043,kg/an
068.03270,LAVATRANS,2010,Eau (direct),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.011,kg/an
068.03660,SUEZ RV PLASTIQUES AVEYRON,2010,Eau (direct),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.017,kg/an
068.03974,SMTD 65,2010,Eau (direct),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.06,kg/an
068.04277,TERREAL REVEL,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.08,kg/an
068.04445,DRIMM,2010,Air,Vanadium et ses composés,0.9,kg/an
070.00789,POLYNT COMPOSITES FRANCE,2010,Eau (indirect),Benzo (a) pyrène,0.00119,kg/an
070.00789,POLYNT COMPOSITES FRANCE,2010,Eau (indirect),Benzo (k) fluoranthène,0.00119,kg/an
070.00789,POLYNT COMPOSITES FRANCE,2010,Eau (indirect),"Indeno(1,2,3-cd)pyrène",0.00119,kg/an
070.00789,POLYNT COMPOSITES FRANCE,2010,Eau (indirect),Benzo (b) fluoranthène,0.00119,kg/an
070.00789,POLYNT COMPOSITES FRANCE,2010,Eau (indirect),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.237,kg/an
070.00895,DCX Chrome SAS,2010,Air,Vanadium et ses composés,0.017,kg/an
070.00895,DCX Chrome SAS,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.067,kg/an
070.01141,BOULONNAIS (Comm. d'Agglo)-(ex SYNDIVAL),2010,Eau (direct),Benzo (a) pyrène,0.0028,kg/an
070.01141,BOULONNAIS (Comm. d'Agglo)-(ex SYNDIVAL),2010,Eau (direct),Benzo (b) fluoranthène,0.0028,kg/an
070.01904,LECOUFFE DARRAS,2010,Air,Vanadium et ses composés,0.00211,kg/an
070.01904,LECOUFFE DARRAS,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.0279,kg/an
070.03356,LUMIVEROPTIM,2010,Air,Vanadium et ses composés,0.026,kg/an
070.03356,LUMIVEROPTIM,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.0611,kg/an
072.02584,ISDI du Vallon d'ARTY,2010,Eau (indirect),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",0.000301,kg/an
074.07038,SNCF - Technicentre de Paris Nord,2010,Eau (direct),"Tétrachlorométhane (TCM, tétrachlorure de carbone)",0.000000182,kg/an
100.00416,SICTOM de la région de Châteaudun,2010,Air,Vanadium et ses composés,0.697,kg/an
100.00416,SICTOM de la région de Châteaudun,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.264,kg/an
100.01645,STCM B2,2010,Air,Vanadium et ses composés,4.62,kg/an
100.01645,STCM B2,2010,Air,Thallium et ses composés (exprimés en tant que Tl),4.62,kg/an
100.01646,STCM B1,2010,Air,Vanadium et ses composés,3.8,kg/an
100.01646,STCM B1,2010,Air,Thallium et ses composés (exprimés en tant que Tl),3.8,kg/an
100.01799,Unité de valorisation des déchets ménagers,2010,Air,Vanadium et ses composés,0.0661,kg/an
100.01799,Unité de valorisation des déchets ménagers,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.0848,kg/an
100.03876,Nexter Munitions La Chapelle Saint Ursin,2010,Eau (direct),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.0212,kg/an
100.04110,HYDROCHEM,2010,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.012,kg/an
100.04110,HYDROCHEM,2010,Eau (indirect),Octylphénols et éthoxylates d'octylphénol,0.0006,kg/an
100.05101,SOCCOIM (plate-forme de bio-traitement des sables de fonderie),2010,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.000425,kg/an
103.00132,BONTOUX SAS,2010,Eau (direct),"Xylènes (somme ortho-xylène, méta-xylène, para-xylène)",0.11,kg/an
106.00343,GRS VALTECH,2010,Air,Vanadium et ses composés,0.334,kg/an
106.00343,GRS VALTECH,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.334,kg/an
164.00376,MEWA,2010,Air,Vanadium et ses composés,0.183,kg/an
164.00376,MEWA,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.188,kg/an
182.00064,KALHYGE,2010,Eau (indirect),Chloroforme (trichlorométhane),1.4,kg/an
182.00064,KALHYGE,2010,Eau (indirect),Diphényléthers bromés (PBDE),0.119,kg/an
182.00064,KALHYGE,2010,Eau (indirect),Nonylphénols et éthoxylates de nonylphénol (NP/NPE),0.004,kg/an
22032105,NOGUES Jacqueline,2010,Air,Ammoniac (NH3),10300,kg/an
251.00002,PARAGON Marketing Solutions,2010,Eau (indirect),Benzo (a) pyrène,0.0000021,kg/an
251.00002,PARAGON Marketing Solutions,2010,Eau (indirect),Benzo (k) fluoranthène,0.0000021,kg/an
251.00002,PARAGON Marketing Solutions,2010,Eau (indirect),"Indeno(1,2,3-cd)pyrène",0.0000021,kg/an
251.00002,PARAGON Marketing Solutions,2010,Eau (indirect),Benzo (b) fluoranthène,0.0000021,kg/an
252.00001,Framatome site du Creusot,2010,Eau (direct),Benzo (a) pyrène,0.0428,kg/an
252.00001,Framatome site du Creusot,2010,Eau (direct),Diphényléthers bromés (PBDE),0.0456,kg/an
252.00001,Framatome site du Creusot,2010,Eau (direct),"Indeno(1,2,3-cd)pyrène",0.0123,kg/an
252.00001,Framatome site du Creusot,2010,Eau (direct),Benzo (b) fluoranthène,0.0409,kg/an
75600402,EARL DE LANN MENGUEN,2010,Air,Ammoniac (NH3),11100,kg/an
072.03699,SVDM DE LA CHARENTE - CET DE POULLIGNAC,2010,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.03,kg/an
100.00458,thermocolor centre,2010,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.01,kg/an
164.00365,SICTOM de la région Montluçonnaise,2010,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.00255,kg/an
165.00105,SICTOM DES MONTS DU FOREZ,2010,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.00121,kg/an
181.00011,DECHARGE DE ROUSSON,2010,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.0011,kg/an
052.01004,PENA METAUX SAS,2010,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.031,kg/an
054.01048,ONEX,2010,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.000375,kg/an
055.01853,Armor Inox,2010,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.00204,kg/an
056.00060,COVED SA - ISDND de Maillet,2010,Eau (indirect),Cadmium et composés (exprimés en tant que Cd),0.005,kg/an
057.01229,MANATHAN international,2010,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.144,kg/an
058.00529,IKOS environnement,2010,Eau (direct),Cadmium et composés (exprimés en tant que Cd),0.000050,kg/an
597.00159,SICA DES SABLES,2010,Air,Vanadium et ses composés,0.602,kg/an
597.00159,SICA DES SABLES,2010,Air,Thallium et ses composés (exprimés en tant que Tl),0.602,kg/an
063.00876,Cycleurope KA International,2010,Air,Naphthalène,55,kg/an
058.01521,ONDULINE FRANCE,2010,Air,Aldéhyde formique (formaldéhyde),1240,kg/an
058.01546,SENALIA Union Gd Couronne,2010,Air,Poussières totales,122000,kg/an
058.01551,SENALIA Union,2010,Air,Poussières totales,125000,kg/an
01074121,SAS EGGTEAM AVIPONTE,2010,Air,Ammoniac (NH3),16500,kg/an
01115003,SARL de Montburon,2010,Air,Ammoniac (NH3),12600,kg/an
01163009,SARL ELEVAGE DES CHARMES,2010,Air,Ammoniac (NH3),11200,kg/an
01301084,SARL Elevage des Marais,2010,Air,Ammoniac (NH3),18800,kg/an
01343009,SAS AIRPORC / ELEVAGE GREZIAT,2010,Air,Ammoniac (NH3),10300,kg/an
01346010,SCEA SOGIFRA,2010,Air,Ammoniac (NH3),13300,kg/an
01365149,Agrioeuf,2010,Air,Ammoniac (NH3),10600,kg/an
01389156,GAEC MESSIDOR,2010,Air,Ammoniac (NH3),10900,kg/an
01441045,SA Larçon,2010,Air,Ammoniac (NH3),11200,kg/an
01445005,EARL DU CHARPET,2010,Air,Ammoniac (NH3),14500,kg/an
02017039,SCEA Les COUTURES,2010,Air,Ammoniac (NH3),19500,kg/an
