Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite
066.00812,OI Vergèze,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),36400000,kg/an
070.00749,REFINAL Industries,2013,Air,CO2 Total d'origine non biomasse uniquement,12700000,kg/an
070.00749,REFINAL Industries,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),12700000,kg/an
070.02239,SICOS,2013,Air,Hydrochlorofluorocarbures (HCFC),39.1,kg/an
070.02239,SICOS,2013,Eau (indirect),Demande biologique en oxygène (DBO5),82200,kg/an
070.02239,SICOS,2013,Eau (indirect),Demande chimique en oxygène (DCO),224000,kg/an
108.00308,Baud Vougy,2013,Air,"Tétrachloroéthylène (PER, tétrachloroéthylène)",7760,kg/an
22225263,VASLON NOEL,2013,Air,Ammoniac (NH3),12400,kg/an
75850149,EARL CHEVALIER,2013,Air,Ammoniac (NH3),17400,kg/an
057.02463,VALEST,2013,Air,Méthane (CH4),668000,kg/an
057.02463,VALEST,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),16900000,kg/an
057.02463,VALEST,2013,Air,CO2 Total d'origine biomasse uniquement,16900000,kg/an
061.02651,Orano Cycle Etablissement Ticastin - INB 155,2013,Air,Hydrochlorofluorocarbures (HCFC),2.2,kg/an
063.01114,SECANIM CENTRE,2013,Air,CO2 Total d'origine non biomasse uniquement,20800000,kg/an
063.01114,SECANIM CENTRE,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),20800000,kg/an
065.01132,Stockage Souterrain de Germigny-Sous-Coulombs,2013,Air,Composés organiques volatils non méthaniques (COVNM),30700,kg/an
065.01132,Stockage Souterrain de Germigny-Sous-Coulombs,2013,Air,Méthane (CH4),210000,kg/an
072.01944,ACS,2013,Air,Composés organiques volatils non méthaniques (COVNM),47300,kg/an
100.01646,STCM B1,2013,Air,Antimoine et composés (exprimés en tant que Sb),12.2,kg/an
100.01646,STCM B1,2013,Air,Dioxines et furanes (PCDD + PCDF) (exprimés en iTeq),0.00011,kg/an
100.01646,STCM B1,2013,Air,Plomb et composés (exprimés en tant que Pb),222,kg/an
108.00314,Hypermarché CORA,2013,Air,Hydroflurocarbures (HFC),137,kg/an
22228394,EARL PLANTEC,2013,Air,Ammoniac (NH3),17500,kg/an
501.00641,laurent DENIS,2013,Air,Ammoniac (NH3),14600,kg/an
56184056,EARL LES OEUFS D'ARVOR,2013,Air,Ammoniac (NH3),12100,kg/an
75100259,EARL MENGUY,2013,Air,Ammoniac (NH3),16600,kg/an
75850153,SA BALLIS,2013,Air,Ammoniac (NH3),12300,kg/an
057.02478,ISDND SAINT AUBIN,2013,Air,Méthane (CH4),353000,kg/an
065.06166,SEGO,2013,Air,Composés organiques volatils non méthaniques (COVNM),126000,kg/an
067.00794,WIENERBERGER,2013,Air,CO2 Total d'origine non biomasse uniquement,21300000,kg/an
067.00794,WIENERBERGER,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),21300000,kg/an
070.00750,RECYTECH sa,2013,Air,Composés organiques volatils non méthaniques (COVNM),141000,kg/an
070.00750,RECYTECH sa,2013,Air,Zinc et composés (exprimés en tant que Zn),215,kg/an
070.00750,RECYTECH sa,2013,Air,CO2 Total d'origine non biomasse uniquement,56300000,kg/an
070.00750,RECYTECH sa,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),56300000,kg/an
072.01973,CARROSSERIE AUBINEAU (Atelier de construction),2013,Air,Composés organiques volatils non méthaniques (COVNM),82800,kg/an
100.01665,SAINT-GOBAIN SULLY,2013,Air,CO2 Total d'origine non biomasse uniquement,15000000,kg/an
100.01665,SAINT-GOBAIN SULLY,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),15000000,kg/an
22229308,SARL CARO JULIEN AVICULTURE,2013,Air,Ammoniac (NH3),13900,kg/an
501.00901,EARL du Soleil Levant,2013,Air,Ammoniac (NH3),13700,kg/an
56184120,EARL DE BREHARDEC,2013,Air,Ammoniac (NH3),25000,kg/an
75100264,GAEC DU LION D'OR,2013,Air,Ammoniac (NH3),13300,kg/an
75850159,SARL DOMINIQUE BLANCHARD,2013,Air,Ammoniac (NH3),70500,kg/an
057.02543,Capdéa - Site de Marigny,2013,Air,Acétaldéhyde (aldéhyde acétique  éthanal),1820,kg/an
057.02543,Capdéa - Site de Marigny,2013,Air,Cobalt et composés (exprimés en tant que Co),6.28,kg/an
057.02543,Capdéa - Site de Marigny,2013,Air,Composés organiques volatils non méthaniques (COVNM),76000,kg/an
057.02543,Capdéa - Site de Marigny,2013,Air,Oxydes de soufre (SOx/SO2),176000,kg/an
057.02543,Capdéa - Site de Marigny,2013,Air,Zinc et composés (exprimés en tant que Zn),248,kg/an
057.02543,Capdéa - Site de Marigny,2013,Air,CO2 Total d'origine non biomasse uniquement,45500000,kg/an
057.02543,Capdéa - Site de Marigny,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),45500000,kg/an
063.01117,ArcelorMittal Atlantique et Lorraine,2013,Air,CO2 Total d'origine non biomasse uniquement,20100000,kg/an
063.01117,ArcelorMittal Atlantique et Lorraine,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),20100000,kg/an
063.01117,ArcelorMittal Atlantique et Lorraine,2013,Eau (direct),Chrome et composés (exprimés en tant que Cr),69.1,kg/an
064.00445,SMURFIT KAPPA PRF ALFA D'AVIGNON,2013,Air,CO2 Total d'origine non biomasse uniquement,20800000,kg/an
064.00445,SMURFIT KAPPA PRF ALFA D'AVIGNON,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),20800000,kg/an
065.01167,Borealis Grandpuits,2013,Air,Ammoniac (NH3),194000,kg/an
065.01167,Borealis Grandpuits,2013,Air,Oxydes d'azote (NOx/NO2),495000,kg/an
065.01167,Borealis Grandpuits,2013,Air,Poussières totales,188000,kg/an
065.01167,Borealis Grandpuits,2013,Air,Protoxyde d'azote (N2O),280000,kg/an
065.01167,Borealis Grandpuits,2013,Air,CO2 Total d'origine non biomasse uniquement,695000000,kg/an
065.01167,Borealis Grandpuits,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),695000000,kg/an
065.01167,Borealis Grandpuits,2013,Eau (direct),Azote total,266000,kg/an
068.03824,Eurosérum,2013,Eau (indirect),Demande biologique en oxygène (DBO5),218000,kg/an
068.03824,Eurosérum,2013,Eau (indirect),Demande chimique en oxygène (DCO),441000,kg/an
070.00753,R-Energies - Chaufferie de Beaurepaire,2013,Air,CO2 Total d'origine non biomasse uniquement,12400000,kg/an
070.00753,R-Energies - Chaufferie de Beaurepaire,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),12400000,kg/an
108.00337,Hypermarché Géant Casino Seynod,2013,Air,Hydrochlorofluorocarbures (HCFC),2.6,kg/an
108.00337,Hypermarché Géant Casino Seynod,2013,Air,Hydroflurocarbures (HFC),437,kg/an
22237125,EARL ELEVAGE ROBERT Hervé,2013,Air,Ammoniac (NH3),17600,kg/an
56187001,GAEC DES GAILLETS,2013,Air,Ammoniac (NH3),10900,kg/an
75100272,EARL DE TANOUEL DELALANDE,2013,Air,Ammoniac (NH3),16300,kg/an
75850175,GAEC LES DEUX NIDS,2013,Air,Ammoniac (NH3),10800,kg/an
057.02678,CARBONEX,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),36800000,kg/an
057.02678,CARBONEX,2013,Air,CO2 Total d'origine biomasse uniquement,36800000,kg/an
065.06233,CPCU - CENTRALE DE BERCY,2013,Air,Oxydes de soufre (SOx/SO2),186000,kg/an
065.06233,CPCU - CENTRALE DE BERCY,2013,Air,Oxydes d'azote (NOx/NO2),126000,kg/an
065.06233,CPCU - CENTRALE DE BERCY,2013,Air,CO2 Total d'origine non biomasse uniquement,64600000,kg/an
065.06233,CPCU - CENTRALE DE BERCY,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),64600000,kg/an
066.00893,OI Manufacturing France,2013,Air,Oxydes d'azote (NOx/NO2),133000,kg/an
066.00893,OI Manufacturing France,2013,Air,CO2 Total d'origine non biomasse uniquement,40100000,kg/an
066.00893,OI Manufacturing France,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),40100000,kg/an
067.00795,Sitek Insulation,2013,Air,CO2 Total d'origine non biomasse uniquement,13300000,kg/an
067.00795,Sitek Insulation,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),13300000,kg/an
100.01674,SANOFI WINTHROP INDUSTRIE,2013,Air,Composés organiques volatils non méthaniques (COVNM),36500,kg/an
22237130,EARL LONCLE et ROBERT,2013,Air,Ammoniac (NH3),11700,kg/an
50113022,SCEA DES BEAUX LINGES,2013,Air,Ammoniac (NH3),11500,kg/an
56190036,SARL LE MENE,2013,Air,Ammoniac (NH3),24200,kg/an
057.02721,EMIN LEYDIER Nogent Sur Seine,2013,Air,CO2 Total d'origine non biomasse uniquement,57000000,kg/an
057.02721,EMIN LEYDIER Nogent Sur Seine,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),57000000,kg/an
057.02721,EMIN LEYDIER Nogent Sur Seine,2013,Eau (direct),Carbone organique total (en tant que C total ou DCO/3),77600,kg/an
057.02721,EMIN LEYDIER Nogent Sur Seine,2013,Eau (direct),Demande chimique en oxygène (DCO),268000,kg/an
058.02648,BASF Agri Production Site de Saint Aubin Lès Elbeuf,2013,Air,Composés organiques volatils non méthaniques (COVNM),50700,kg/an
058.02648,BASF Agri Production Site de Saint Aubin Lès Elbeuf,2013,Eau (direct),Composés organohalogénés (exprimés en tant que AOX),4090,kg/an
058.02648,BASF Agri Production Site de Saint Aubin Lès Elbeuf,2013,Eau (direct),Demande chimique en oxygène (DCO),201000,kg/an
060.00357,Eurocoustic,2013,Air,Oxydes de soufre (SOx/SO2),220000,kg/an
060.00357,Eurocoustic,2013,Air,CO2 Total d'origine non biomasse uniquement,48600000,kg/an
060.00357,Eurocoustic,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),48600000,kg/an
063.01125,SOFIVO,2013,Air,Nickel et composés (exprimés en tant que Ni),115,kg/an
063.01125,SOFIVO,2013,Air,CO2 Total d'origine non biomasse uniquement,10500000,kg/an
063.01125,SOFIVO,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),10500000,kg/an
063.01125,SOFIVO,2013,Sol,Phosphore total,59800,kg/an
065.01169,Raffinerie de GRANDPUITS,2013,Air,Benzène,5400,kg/an
065.01169,Raffinerie de GRANDPUITS,2013,Air,Cobalt et composés (exprimés en tant que Co),11,kg/an
065.01169,Raffinerie de GRANDPUITS,2013,Air,Composés organiques volatils non méthaniques (COVNM),540000,kg/an
065.01169,Raffinerie de GRANDPUITS,2013,Air,Oxydes de soufre (SOx/SO2),1860000,kg/an
065.01169,Raffinerie de GRANDPUITS,2013,Air,Oxydes d'azote (NOx/NO2),676000,kg/an
065.01169,Raffinerie de GRANDPUITS,2013,Air,Poussières totales,152000,kg/an
065.01169,Raffinerie de GRANDPUITS,2013,Air,Protoxyde d'azote (N2O),22900,kg/an
065.01169,Raffinerie de GRANDPUITS,2013,Air,CO2 Total d'origine non biomasse uniquement,789000000,kg/an
065.01169,Raffinerie de GRANDPUITS,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),789000000,kg/an
065.01169,Raffinerie de GRANDPUITS,2013,Eau (direct),Arsenic et composés (exprimés en tant que As),38.9,kg/an
065.01169,Raffinerie de GRANDPUITS,2013,Eau (direct),Cadmium et composés (exprimés en tant que Cd),1.4,kg/an
065.01169,Raffinerie de GRANDPUITS,2013,Eau (direct),Chrome hexavalent et composés (exprimés en tant que Cr VI),33.9,kg/an
065.01169,Raffinerie de GRANDPUITS,2013,Eau (direct),Fluorures (en tant que F total),3210,kg/an
066.00901,GRANDES HUILERIES MEDIACO - GHM,2013,Air,Composés organiques volatils non méthaniques (COVNM),88300,kg/an
100.01721,ORGAPHARM Etablissement secondaire,2013,Air,"1,2-dichloroéthane (DCE - chlorure d'éthylène)",4640,kg/an
100.01721,ORGAPHARM Etablissement secondaire,2013,Air,Composés organiques volatils non méthaniques (COVNM),45400,kg/an
100.01721,ORGAPHARM Etablissement secondaire,2013,Eau (indirect),"1,2-dichloroéthane (DCE - chlorure d'éthylène)",13.8,kg/an
50132035,FORGE (EARL LA),2013,Air,Ammoniac (NH3),15200,kg/an
75100275,EARL DU BOIS BOSCHER HAMON,2013,Air,Ammoniac (NH3),21000,kg/an
75850191,SCEA Les Pagannes,2013,Air,Ammoniac (NH3),26100,kg/an
057.02761,AUREADE,2013,Air,Protoxyde d'azote (N2O),88300,kg/an
057.02761,AUREADE,2013,Air,CO2 Total d'origine non biomasse uniquement,32700000,kg/an
057.02761,AUREADE,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),75600000,kg/an
057.02761,AUREADE,2013,Air,CO2 Total d'origine biomasse uniquement,42900000,kg/an
061.03556,AVERY DENNISON MATERIALS France,2013,Air,Composés organiques volatils non méthaniques (COVNM),67500,kg/an
063.01129,SOCOPA Viandes,2013,Eau (indirect),Demande biologique en oxygène (DBO5),106000,kg/an
063.01129,SOCOPA Viandes,2013,Eau (indirect),Demande chimique en oxygène (DCO),290000,kg/an
066.00904,Placoplatre,2013,Air,Composés organiques volatils non méthaniques (COVNM),172000,kg/an
068.03836,IMERYS TC Site de Léguevin,2013,Air,Cuivre et composés (exprimés en tant que Cu),107,kg/an
068.03836,IMERYS TC Site de Léguevin,2013,Air,Nickel et composés (exprimés en tant que Ni),85,kg/an
070.00757,INGREDIA,2013,Air,CO2 Total d'origine non biomasse uniquement,13000000,kg/an
070.00757,INGREDIA,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),13000000,kg/an
070.00757,INGREDIA,2013,Eau (indirect),Demande biologique en oxygène (DBO5),459000,kg/an
070.00757,INGREDIA,2013,Eau (indirect),Demande chimique en oxygène (DCO),877000,kg/an
070.00757,INGREDIA,2013,Eau (indirect),Phosphore total,16700,kg/an
100.01733,MARS PF FRANCE,2013,Air,Hydrochlorofluorocarbures (HCFC),10,kg/an
100.01733,MARS PF FRANCE,2013,Air,Hydroflurocarbures (HFC),129,kg/an
100.01733,MARS PF FRANCE,2013,Air,CO2 Total d'origine non biomasse uniquement,11300000,kg/an
100.01733,MARS PF FRANCE,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),11300000,kg/an
100.01733,MARS PF FRANCE,2013,Sol,Phosphore total,6970,kg/an
22241232,EARL DE FONTAIGNAN,2013,Air,Ammoniac (NH3),20600,kg/an
56192025,EARL DU CEDRE BLEU,2013,Air,Ammoniac (NH3),12800,kg/an
75100282,EARL DE COET PARQUET,2013,Air,Ammoniac (NH3),14700,kg/an
75850224,PICHAUD Patrice,2013,Air,Ammoniac (NH3),33800,kg/an
057.02843,Ecopôle de la Côte Plate - SITA Dectra,2013,Air,Méthane (CH4),526000,kg/an
062.00199,SAINT-GOBAIN PAM - Usine de FOUG,2013,Air,Composés organiques volatils non méthaniques (COVNM),157000,kg/an
062.00199,SAINT-GOBAIN PAM - Usine de FOUG,2013,Air,CO2 Total d'origine non biomasse uniquement,50100000,kg/an
062.00199,SAINT-GOBAIN PAM - Usine de FOUG,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),50100000,kg/an
064.00463,Azur Distillation - Distillerie du Calavon,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),14700000,kg/an
064.00463,Azur Distillation - Distillerie du Calavon,2013,Air,CO2 Total d'origine biomasse uniquement,14700000,kg/an
070.00761,AGC FRANCE SAS BOUSSOIS,2013,Air,Oxydes de soufre (SOx/SO2),618000,kg/an
070.00761,AGC FRANCE SAS BOUSSOIS,2013,Air,Oxydes d'azote (NOx/NO2),924000,kg/an
070.00761,AGC FRANCE SAS BOUSSOIS,2013,Air,CO2 Total d'origine non biomasse uniquement,180000000,kg/an
070.00761,AGC FRANCE SAS BOUSSOIS,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),180000000,kg/an
070.00761,AGC FRANCE SAS BOUSSOIS,2013,Eau (direct),Arsenic et composés (exprimés en tant que As),14.3,kg/an
070.02309,Station de compression de PITGAM,2013,Air,Composés organiques volatils non méthaniques (COVNM),34900,kg/an
070.02309,Station de compression de PITGAM,2013,Air,Méthane (CH4),238000,kg/an
070.02309,Station de compression de PITGAM,2013,Air,CO2 Total d'origine non biomasse uniquement,39700000,kg/an
070.02309,Station de compression de PITGAM,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),39700000,kg/an
072.02022,SOCOPA VIANDES CELLES,2013,Eau (indirect),Demande biologique en oxygène (DBO5),293000,kg/an
072.02022,SOCOPA VIANDES CELLES,2013,Eau (indirect),Demande chimique en oxygène (DCO),896000,kg/an
072.02022,SOCOPA VIANDES CELLES,2013,Eau (indirect),Phosphore total,6940,kg/an
100.01744,DURALEX INTERNATIONAL,2013,Air,CO2 Total d'origine non biomasse uniquement,28000000,kg/an
100.01744,DURALEX INTERNATIONAL,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),28000000,kg/an
22248003,SCEA DE LA LANDE,2013,Air,Ammoniac (NH3),14100,kg/an
50189001,GAEC DESLANDES,2013,Air,Ammoniac (NH3),12400,kg/an
56200039,HAMON MARIE FRANCOISE,2013,Air,Ammoniac (NH3),11000,kg/an
75100295,EURL La Ville Poissin,2013,Air,Ammoniac (NH3),30000,kg/an
057.02849,BIOBAR-VOLTALIA,2013,Air,CO2 Total d'origine non biomasse uniquement,18200000,kg/an
057.02849,BIOBAR-VOLTALIA,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),18200000,kg/an
063.01133,chaufferie des Bords de l'huisne,2013,Air,CO2 Total d'origine non biomasse uniquement,29800000,kg/an
063.01133,chaufferie des Bords de l'huisne,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),29800000,kg/an
067.00806,Knauf industries Est,2013,Air,Composés organiques volatils non méthaniques (COVNM),78000,kg/an
068.03960,SAS CODEVIA ABATTOIR,2013,Eau (indirect),Demande biologique en oxygène (DBO5),53000,kg/an
070.00762,PPG France Manufacturing SAS,2013,Air,Composés organiques volatils non méthaniques (COVNM),173000,kg/an
10850718,EARL la vergnaie,2013,Air,Ammoniac (NH3),11500,kg/an
75850235,EARL LA RANCONNIERE,2013,Air,Ammoniac (NH3),23200,kg/an
057.02854,SPARFLEX,2013,Air,Composés organiques volatils non méthaniques (COVNM),34400,kg/an
062.00203,SOFIDEL FRANCE,2013,Air,CO2 Total d'origine non biomasse uniquement,44700000,kg/an
062.00203,SOFIDEL FRANCE,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),44700000,kg/an
065.06236,Chaufferie de VAUGIRARD,2013,Air,Oxydes de soufre (SOx/SO2),342000,kg/an
065.06236,Chaufferie de VAUGIRARD,2013,Air,Oxydes d'azote (NOx/NO2),200000,kg/an
