Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite
057.02394,PLASTIC OMNIUM AUTO EXTERIEUR,2013,Air,Composés organiques volatils non méthaniques (COVNM),30600,kg/an
064.00419,SILVATRIM SARL,2013,Air,Composés organiques volatils non méthaniques (COVNM),35100,kg/an
064.00419,SILVATRIM SARL,2013,Air,Oxydes d'azote (NOx/NO2),8990000,kg/an
065.01028,V & B Fliesen GmbH,2013,Air,CO2 Total d'origine non biomasse uniquement,15900000,kg/an
065.01028,V & B Fliesen GmbH,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),15900000,kg/an
067.00760,MAHLE Behr France,2013,Air,"Tétrachloroéthylène (PER, tétrachloroéthylène)",7020,kg/an
070.02223,ARTOIS COMPOST,2013,Air,Ammoniac (NH3),33600,kg/an
22214001,EARL DE KERNARHANT,2013,Air,Ammoniac (NH3),12700,kg/an
47310043,SOGP FRANCE,2013,Air,Ammoniac (NH3),11100,kg/an
75100248,EARL de l'Hippodrome,2013,Air,Ammoniac (NH3),14000,kg/an
75850130,EARL SEMACO,2013,Air,Ammoniac (NH3),11100,kg/an
062.00119,BARISIEN - INSTALLATION DE STOCKAGE DE DECHETS NON DANGEREUX DE CONFLANS-LABRY,2013,Air,Méthane (CH4),598000,kg/an
062.00119,BARISIEN - INSTALLATION DE STOCKAGE DE DECHETS NON DANGEREUX DE CONFLANS-LABRY,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),14100000,kg/an
062.00119,BARISIEN - INSTALLATION DE STOCKAGE DE DECHETS NON DANGEREUX DE CONFLANS-LABRY,2013,Air,CO2 Total d'origine biomasse uniquement,14100000,kg/an
065.01113,Routière de l'Est Parisien (Site de Fouju-Moisenay),2013,Air,Méthane (CH4),594000,kg/an
065.01113,Routière de l'Est Parisien (Site de Fouju-Moisenay),2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),12000000,kg/an
065.01113,Routière de l'Est Parisien (Site de Fouju-Moisenay),2013,Air,CO2 Total d'origine biomasse uniquement,12000000,kg/an
066.00794,HARIBO RICQLES ZAN,2013,Eau (indirect),Demande biologique en oxygène (DBO5),200000,kg/an
066.00794,HARIBO RICQLES ZAN,2013,Eau (indirect),Demande chimique en oxygène (DCO),334000,kg/an
068.03698,SOVAMEP,2013,Air,Chrome et composés (exprimés en tant que Cr),163,kg/an
068.03698,SOVAMEP,2013,Air,Nickel et composés (exprimés en tant que Ni),201,kg/an
072.01820,IRMC Clérac,2013,Air,Oxydes de soufre (SOx/SO2),167000,kg/an
072.01820,IRMC Clérac,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),19300000,kg/an
072.01820,IRMC Clérac,2013,Air,CO2 Total d'origine biomasse uniquement,19300000,kg/an
100.01645,STCM B2,2013,Air,CO2 Total d'origine non biomasse uniquement,10700000,kg/an
100.01645,STCM B2,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),10700000,kg/an
108.00259,GROUPE BIGARD Site de Bonneville,2013,Eau (indirect),Azote total,60400,kg/an
108.00259,GROUPE BIGARD Site de Bonneville,2013,Eau (indirect),Demande biologique en oxygène (DBO5),117000,kg/an
108.00259,GROUPE BIGARD Site de Bonneville,2013,Eau (indirect),Demande chimique en oxygène (DCO),273000,kg/an
22219233,SCEA DAVID,2013,Air,Ammoniac (NH3),14100,kg/an
49002706,JULIERE SCEA,2013,Air,Ammoniac (NH3),18200,kg/an
56182508,EARL COSPEREC,2013,Air,Ammoniac (NH3),14400,kg/an
75100249,EARL de l'ISLE,2013,Air,Ammoniac (NH3),24400,kg/an
061.02650,COMURHEX PIERRELATTE,2013,Air,Hydrochlorofluorocarbures (HCFC),461,kg/an
062.00139,CROWN BEVCAN FRANCE,2013,Air,Composés organiques volatils non méthaniques (COVNM),435000,kg/an
063.01109,SOTREMO,2013,Eau (indirect),Phénols (en tant que C total),20.1,kg/an
070.00745,AHLSTROM-MUNKSJO SPECIALTIES,2013,Air,CO2 Total d'origine non biomasse uniquement,22600000,kg/an
070.00745,AHLSTROM-MUNKSJO SPECIALTIES,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),22600000,kg/an
070.00745,AHLSTROM-MUNKSJO SPECIALTIES,2013,Eau (direct),Plomb et composés (exprimés en tant que Pb),32.7,kg/an
501.00333,SAS ROLAND MONTERRAT,2013,Eau (indirect),Chloroforme (trichlorométhane),17.7,kg/an
56183026,SCEA KENVAR,2013,Air,Ammoniac (NH3),14400,kg/an
75100252,EARL DE PEN AN GOLLOT,2013,Air,Ammoniac (NH3),13000,kg/an
75850132,RABALLAND Abel,2013,Air,Ammoniac (NH3),10200,kg/an
057.02421,Chaufferie sur le site,2013,Air,CO2 Total d'origine non biomasse uniquement,21100000,kg/an
057.02421,Chaufferie sur le site,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),21100000,kg/an
065.01121,Routière de l'Est Parisien (ISDND de Claye Souilly),2013,Air,Méthane (CH4),4500000,kg/an
065.01121,Routière de l'Est Parisien (ISDND de Claye Souilly),2013,Air,Oxydes de soufre (SOx/SO2),219000,kg/an
065.01121,Routière de l'Est Parisien (ISDND de Claye Souilly),2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),189000000,kg/an
065.01121,Routière de l'Est Parisien (ISDND de Claye Souilly),2013,Air,CO2 Total d'origine biomasse uniquement,189000000,kg/an
065.06138,Chaufferie de Sarcelles,2013,Air,CO2 Total d'origine non biomasse uniquement,12600000,kg/an
065.06138,Chaufferie de Sarcelles,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),12600000,kg/an
067.00773,CPK Production Strasbourg,2013,Air,Hydrochlorofluorocarbures (HCFC),9,kg/an
070.02235,CIDEME DOUCHY LES MINES,2013,Air,CO2 Total d'origine non biomasse uniquement,37700000,kg/an
070.02235,CIDEME DOUCHY LES MINES,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),75100000,kg/an
070.02235,CIDEME DOUCHY LES MINES,2013,Air,CO2 Total d'origine biomasse uniquement,37400000,kg/an
070.02235,CIDEME DOUCHY LES MINES,2013,Sol,Plomb et composés (exprimés en tant que Pb),29.1,kg/an
108.00284,EMT 74,2013,Air,"Tétrachloroéthylène (PER, tétrachloroéthylène)",2020,kg/an
22222218,LE PAGE PHILIPPE,2013,Air,Ammoniac (NH3),14200,kg/an
501.00431,SIBERT,2013,Eau (indirect),Zinc et composés (exprimés en tant que Zn),2220,kg/an
75100254,EARL DE PONT ROUZ,2013,Air,Ammoniac (NH3),11700,kg/an
75850143,SA BALLIS,2013,Air,Ammoniac (NH3),58200,kg/an
057.02454,Focast,2013,Air,Composés organiques volatils non méthaniques (COVNM),83400,kg/an
062.00158,SOLVAY OPERATIONS France usine de Dombasle,2013,Air,Ammoniac (NH3),571000,kg/an
062.00158,SOLVAY OPERATIONS France usine de Dombasle,2013,Air,Chlore et composés inorganiques (en tant que HCl),17000,kg/an
062.00158,SOLVAY OPERATIONS France usine de Dombasle,2013,Air,Monoxyde de carbone (CO),17200000,kg/an
062.00158,SOLVAY OPERATIONS France usine de Dombasle,2013,Air,Oxydes de soufre (SOx/SO2),1690000,kg/an
062.00158,SOLVAY OPERATIONS France usine de Dombasle,2013,Air,Oxydes d'azote (NOx/NO2),735000,kg/an
062.00158,SOLVAY OPERATIONS France usine de Dombasle,2013,Air,Particules (PM10),67600,kg/an
062.00158,SOLVAY OPERATIONS France usine de Dombasle,2013,Air,CO2 Total d'origine non biomasse uniquement,590000000,kg/an
062.00158,SOLVAY OPERATIONS France usine de Dombasle,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),590000000,kg/an
062.00158,SOLVAY OPERATIONS France usine de Dombasle,2013,Eau (direct),Cadmium et composés (exprimés en tant que Cd),54,kg/an
062.00158,SOLVAY OPERATIONS France usine de Dombasle,2013,Eau (direct),Chlorures (en tant que Cl total),476000000,kg/an
062.00158,SOLVAY OPERATIONS France usine de Dombasle,2013,Eau (direct),Plomb et composés (exprimés en tant que Pb),194,kg/an
062.00158,SOLVAY OPERATIONS France usine de Dombasle,2013,Eau (direct),Sulfates,2480000,kg/an
062.00158,SOLVAY OPERATIONS France usine de Dombasle,2013,Eau (direct),Hydroxyde d'ammonium (NH4+),44000,kg/an
065.06146,SAREN,2013,Air,CO2 Total d'origine non biomasse uniquement,50800000,kg/an
065.06146,SAREN,2013,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),118000000,kg/an
065.06146,SAREN,2013,Air,CO2 Total d'origine biomasse uniquement,67300000,kg/an
065.06146,SAREN,2013,Eau (indirect),Chrome et composés (exprimés en tant que Cr),76.8,kg/an
066.00812,OI Vergèze,2013,Air,Plomb et composés (exprimés en tant que Pb),508,kg/an
066.00812,OI Vergèze,2013,Air,CO2 Total d'origine non biomasse uniquement,36400000,kg/an
